State,NSP,Start,Finish,Network_Asset,Impact,Recall,Status
VIC,AusNet,"19/10/2021 06:00
Tuesday","19/10/2021 16:00
Tuesday",Keilor  Sydenham 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
 Cause a large reduction in generation in Victoria
 Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 3 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"04/11/2021 06:00
Thursday","04/11/2021 18:00
Thursday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
 Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
 Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"05/11/2021 06:00
Friday","05/11/2021 18:00
Friday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
 Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
 Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"06/11/2021 06:00
Saturday","06/11/2021 18:00
Saturday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
 Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
 Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"01/03/2022 06:00
Tuesday","01/03/2022 15:00
Tuesday",Red Cliffs-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"01/03/2022 06:00
Tuesday","01/03/2022 15:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"02/03/2022 06:00
Wednesday","02/03/2022 15:00
Wednesday",Red Cliffs-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"03/03/2022 06:00
Thursday","03/03/2022 15:00
Thursday",Red Cliffs-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"09/03/2022 06:00
Wednesday","09/03/2022 15:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"10/03/2022 06:00
Thursday","10/03/2022 15:00
Thursday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"16/03/2022 06:00
Wednesday","16/03/2022 13:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"20/04/2022 07:00
Wednesday","20/04/2022 16:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"10/05/2022 07:00
Tuesday","10/05/2022 16:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"11/05/2022 07:00
Wednesday","11/05/2022 16:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"12/05/2022 07:00
Thursday","12/05/2022 16:00
Thursday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"13/05/2022 07:00
Friday","13/05/2022 16:00
Friday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"17/05/2022 07:00
Tuesday","17/05/2022 16:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"31/05/2022 07:00
Tuesday","31/05/2022 16:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"07/09/2021 09:00
Tuesday","07/09/2021 20:00
Tuesday",Heywood No.1 500 kV Bus,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"07/09/2021 18:00
Tuesday","07/09/2021 20:00
Tuesday",Heywood - Tarrone 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 1 hr-Night: NA,Planned - SUBMIT
VIC,AusNet,"08/09/2021 09:00
Wednesday","08/09/2021 20:00
Wednesday",Heywood No.1 500 kV Bus,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"08/09/2021 18:00
Wednesday","08/09/2021 20:00
Wednesday",Heywood - Tarrone 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 1 hr-Night: NA,Planned - SUBMIT
VIC,AusNet,"10/09/2021 07:00
Friday","10/09/2021 17:00
Friday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause:
? A large reduction in generation in Victoria
? Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"10/09/2021 16:00
Friday","10/09/2021 18:00
Friday",Heywood - Tarrone 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 1 hr-Night: NA,Planned - SUBMIT
VIC,AusNet,"11/09/2021 07:00
Saturday","11/09/2021 17:00
Saturday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause:
? A large reduction in generation in Victoria
? Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"12/09/2021 07:00
Sunday","12/09/2021 17:00
Sunday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause:
? A large reduction in generation in Victoria
? Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - MTLTP
VIC,AusNet,"17/09/2021 06:30
Friday","17/09/2021 19:00
Friday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP
VIC,AusNet,"18/09/2021 06:30
Saturday","18/09/2021 19:00
Saturday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP
VIC,AusNet,"19/09/2021 06:30
Sunday","19/09/2021 19:00
Sunday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP
VIC,AusNet,"20/09/2021 06:30
Monday","20/09/2021 19:00
Monday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP
VIC,AusNet,"21/09/2021 07:00
Tuesday","21/09/2021 19:00
Tuesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,TOA,"21/09/2021 07:00
Tuesday","21/09/2021 17:00
Tuesday",Ararat - Crowland 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2.5 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"22/09/2021 07:00
Wednesday","22/09/2021 19:00
Wednesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,TOA,"22/09/2021 07:00
Wednesday","22/09/2021 17:00
Wednesday",Ararat - Crowland 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"23/09/2021 07:00
Thursday","23/09/2021 19:00
Thursday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"28/09/2021 06:45
Tuesday","28/09/2021 17:00
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 1 hr-Night: NA,Planned - SUBMIT
VIC,AusNet,"29/09/2021 07:00
Wednesday","29/09/2021 19:00
Wednesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"01/10/2021 06:45
Friday","01/10/2021 17:00
Friday",South Morang - Sydenham No.1 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
? Cause a large reduction in generation in Victoria
? Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 1 hr-Night: NA,Planned - SUBMIT
VIC,AusNet,"19/10/2021 06:00
Tuesday","19/10/2021 16:00
Tuesday",Keilor ? Sydenham 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
? Cause a large reduction in generation in Victoria
? Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 3 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"04/11/2021 06:00
Thursday","04/11/2021 18:00
Thursday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"05/11/2021 06:00
Friday","05/11/2021 18:00
Friday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"06/11/2021 06:00
Saturday","06/11/2021 18:00
Saturday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"01/03/2022 06:00
Tuesday","01/03/2022 15:00
Tuesday",Red Cliffs-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"01/03/2022 06:00
Tuesday","01/03/2022 15:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"02/03/2022 06:00
Wednesday","02/03/2022 15:00
Wednesday",Red Cliffs-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"03/03/2022 06:00
Thursday","03/03/2022 15:00
Thursday",Red Cliffs-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"09/03/2022 06:00
Wednesday","09/03/2022 15:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"10/03/2022 06:00
Thursday","10/03/2022 15:00
Thursday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"16/03/2022 06:00
Wednesday","16/03/2022 13:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"20/04/2022 07:00
Wednesday","20/04/2022 16:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"10/05/2022 07:00
Tuesday","10/05/2022 16:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"11/05/2022 07:00
Wednesday","11/05/2022 16:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"12/05/2022 07:00
Thursday","12/05/2022 16:00
Thursday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"13/05/2022 07:00
Friday","13/05/2022 16:00
Friday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"17/05/2022 07:00
Tuesday","17/05/2022 16:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"31/05/2022 07:00
Tuesday","31/05/2022 16:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 řC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"24/09/2021 00:44
Friday","28/09/2021 06:30
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: NA-Night: NA,In Progress - PTP
VIC,AusNet,"28/09/2021 06:30
Tuesday","28/09/2021 17:00
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 1 hr-Night: NA,Planned - MTLTP
VIC,AusNet,"28/09/2021 17:00
Tuesday","28/09/2021 17:30
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 30 mins-Night: NA,Withdrawn
VIC,AusNet,"28/09/2021 17:00
Tuesday","28/09/2021 17:30
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 30 mins-Night: NA,Planned - SUBMIT
