ID,Name,Source/Technology,RegisteredCapacity (MW)
KIATAWF1,Kiata Wind Farm,"Wind, Wind - Onshore",31
MACARTH1,Macarthur Wind Farm,"Wind, Wind - Onshore",420
MERCER01,Mt Mercer Wind Farm,"Wind, Wind - Onshore",131
MLWF1,Mortons Lane Wind Farm,"Wind, Wind - Onshore",20
MOORAWF1,Moorabool Wind Farm,"Wind, Wind - Onshore",312
MTGELWF1,Mt Gellibrand Wind Farm,"Wind, Wind - Onshore",138
MUWAWF1,Murra Warra Wind Farm,"Wind, Wind - Onshore",232
MUWAWF2,Murra Warra Wind Farm Stage 2,"Wind, Wind - Onshore",209
OAKLAND1,Oaklands Hill Wind Farm,"Wind, Wind - Onshore",67
PORTWF,Portland Wind Farm,"Wind, Wind - Onshore",148
SALTCRK1,Salt Creek Wind Farm,"Wind, Wind - Onshore",54
STOCKYD1,Stockyard Hill Wind Farm,"Wind, Wind - Onshore",531
WAUBRAWF,Waubra Wind Farm,"Wind, Wind - Onshore",192
YAMBUKWF,Yambuk Wind Farm,"Wind, Wind - Onshore",30
YENDWF1,Yendon Wind Farm,"Wind, Wind - Onshore",144
YSWF1,Yaloak South Wind Farm,"Wind, Wind - Onshore",29
,,,4037
Total registered,Total registered,Total registered,Total registered
,,,9854
